timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-05-24,58.5000,58.7900,56.6100,57.1000,57.1000,2412541,0.0000,1.0000
2019-05-23,56.8200,58.4800,56.3200,58.1100,58.1100,3649271,0.0000,1.0000
2019-05-22,54.6800,57.9600,54.6200,57.8800,57.8800,3913654,0.0000,1.0000
2019-05-21,54.7700,56.0300,53.5300,55.5100,55.5100,3490690,0.0000,1.0000
2019-05-20,52.1400,54.6900,51.8450,54.6300,54.6300,2709956,0.0000,1.0000
2019-05-17,54.5000,55.1100,53.4600,53.7900,53.7900,4326534,0.0000,1.0000
2019-05-16,54.1000,56.7200,53.5500,55.6000,55.6000,7101652,0.0000,1.0000
2019-05-15,50.2000,54.8500,49.8600,54.0400,54.0400,7909299,0.0000,1.0000
2019-05-14,48.8200,51.3900,48.0000,50.5200,50.5200,7007446,0.0000,1.0000
2019-05-13,50.0000,50.0900,47.1700,48.1500,48.1500,10007408,0.0000,1.0000
2019-05-10,56.3900,56.4900,50.0200,51.0900,51.0900,23111233,0.0000,1.0000
2019-05-09,54.0700,56.4500,53.1000,55.1800,55.1800,9603468,0.0000,1.0000
2019-05-08,57.6900,60.4500,52.7800,52.9100,52.9100,22640392,0.0000,1.0000
2019-05-07,60.3400,61.6000,58.1200,59.3400,59.3400,11591711,0.0000,1.0000
2019-05-06,60.5500,61.5000,59.9000,60.5700,60.5700,5184648,0.0000,1.0000
2019-05-03,61.2100,62.9850,60.1008,62.5100,62.5100,9393560,0.0000,1.0000
2019-05-02,58.4400,62.0100,57.3300,61.5000,61.5000,6634306,0.0000,1.0000
2019-05-01,60.7000,60.7100,58.5321,58.7500,58.7500,3450824,0.0000,1.0000
2019-04-30,59.9300,61.4000,58.2200,59.8000,59.8000,6072676,0.0000,1.0000
2019-04-29,57.6000,60.7100,56.0000,60.5900,60.5900,7231802,0.0000,1.0000
2019-04-26,56.3000,57.5300,54.3200,57.2400,57.2400,5981041,0.0000,1.0000
2019-04-25,58.2000,58.4569,55.8610,56.3400,56.3400,5097091,0.0000,1.0000
2019-04-24,60.1100,60.4892,57.7700,57.8200,57.8200,5157959,0.0000,1.0000
2019-04-23,62.0200,62.1000,59.3300,60.2500,60.2500,11975038,0.0000,1.0000
2019-04-22,57.9000,61.2300,57.6505,60.9400,60.9400,5265581,0.0000,1.0000
2019-04-18,59.6500,59.6600,57.6000,58.3600,58.3600,6869872,0.0000,1.0000
2019-04-17,56.5000,59.6100,55.6200,59.5100,59.5100,10768260,0.0000,1.0000
2019-04-16,56.8600,57.9400,56.1800,56.2500,56.2500,9965046,0.0000,1.0000
2019-04-15,59.7200,59.8000,55.5595,56.1100,56.1100,14345925,0.0000,1.0000
2019-04-12,61.3800,61.4899,57.6600,59.8950,59.8950,13787541,0.0000,1.0000
2019-04-11,61.1000,62.3000,60.3100,61.0100,61.0100,12405691,0.0000,1.0000
2019-04-10,67.2500,67.3500,59.7500,60.1200,60.1200,26392068,0.0000,1.0000
2019-04-09,69.5000,69.7000,67.1100,67.4400,67.4400,8223332,0.0000,1.0000
2019-04-08,74.9900,74.9900,70.2300,70.2300,70.2300,6599481,0.0000,1.0000
2019-04-05,73.9400,76.1000,73.3000,74.4500,74.4500,11200122,0.0000,1.0000
2019-04-04,70.4800,72.8900,70.2200,72.0000,72.0000,9233730,0.0000,1.0000
2019-04-03,70.0600,72.0000,69.1200,70.0000,70.0000,15662287,0.0000,1.0000
2019-04-02,66.9000,70.2000,66.1000,68.9700,68.9700,22483330,0.0000,1.0000
2019-04-01,74.9000,75.0000,67.7800,69.0100,69.0100,41799258,0.0000,1.0000
2019-03-29,87.2400,88.6000,78.0200,78.2900,78.2900,71485240,0.0000,1.0000
